Circuit_ID,Segment,Service,Contract_Months,Months_Remaining,SLA_Uptime_Pct,Service_Tickets_Last_90d,CapEx_Investment,Monthly_Revenue,Churn_Prob,Churned
SRG-00000,Enterprise,Managed SD-WAN,60,13,99.50278356043495,1,16713.606594420296,24435.250740471336,0.683501960441405,0
SRG-00001,SMB,Managed SD-WAN,120,41,98.95382412116,2,46817.17356328392,16054.77781137139,0.7404215710481964,0
SRG-00002,SMB,Managed SD-WAN,36,27,98.55308839513131,4,82140.37424288521,4123.793957002217,1.1639498271326607,1
SRG-00003,Wholesale,Dark Fiber,60,1,99.89412614282021,1,34938.6320767404,3580.3197162758956,5.142349542871915,1
SRG-00004,Enterprise,Managed SD-WAN,60,57,99.37331931972018,3,47163.99300274619,19772.351295783723,0.6383915703575416,0
SRG-00005,Enterprise,Dedicated Fiber,60,17,98.94423302701072,4,51914.00108042546,16782.852020594277,1.1164244362545337,1
SRG-00006,Enterprise,Managed SD-WAN,36,48,98.72221131069283,1,86959.47469621575,5304.988275604202,0.7152821423895356,0
SRG-00007,SMB,Dedicated Fiber,36,50,99.73598951659612,2,67281.9780764718,7453.95935806305,0.40560419336155185,0
SRG-00008,SMB,Managed SD-WAN,120,34,99.7464150897269,2,14519.24080954483,19130.64910137418,0.44849278763865374,0
SRG-00009,SMB,Managed SD-WAN,60,14,99.71361687251449,0,87191.24365147702,14804.660872432692,0.47169610813706003,0
SRG-00010,Enterprise,Dedicated Fiber,36,54,99.46117321103051,1,84046.26767079854,15247.501468809667,0.40812330818038756,0
SRG-00011,SMB,Managed SD-WAN,60,55,99.04536292751189,1,76596.36815692167,6435.203775265874,0.5727639199043355,0
SRG-00012,SMB,Managed SD-WAN,60,59,98.95306472432259,0,49275.51174028958,16282.862568956221,0.5035198729828296,0
SRG-00013,Enterprise,Managed SD-WAN,120,17,98.51274660747607,1,76966.81143115164,19609.7719920705,0.9890190040683937,0
SRG-00014,Enterprise,Dark Fiber,36,3,99.74207526244547,2,50480.49595106194,22303.427298400402,1.9698365616884794,1
SRG-00015,Enterprise,Dedicated Fiber,36,34,98.63027471926553,1,74979.23576108048,18812.857133224155,0.7949489358232003,0
SRG-00016,Enterprise,Managed SD-WAN,60,40,99.43982494708074,4,88610.46567239094,15044.827798711878,0.7490700211677052,0
SRG-00017,Wholesale,Dedicated Fiber,60,25,99.25107167079173,2,89601.4505874067,17321.593720299257,0.6995713316833077,0
SRG-00018,Wholesale,Dedicated Fiber,120,2,99.28476714480026,1,48184.96454780819,12900.119369076127,2.886093142079898,1
SRG-00019,Enterprise,Dedicated Fiber,120,34,99.88080213950857,2,86637.55453844278,6832.10871326413,0.39473796772598196,0
SRG-00020,SMB,Managed SD-WAN,120,26,98.54710636679415,1,14638.451148232747,22231.863860140482,0.8734651455900309,0
SRG-00021,Enterprise,Managed SD-WAN,120,31,99.65235441469687,2,14672.844661244199,14016.631879434495,0.5003485567018959,0
SRG-00022,Enterprise,Dedicated Fiber,120,9,98.57755807356729,0,57085.3599524106,15466.480311960022,1.12453232612864,1
SRG-00023,Enterprise,Dark Fiber,120,30,98.55684887284372,3,66925.23875334555,24767.55947319979,1.0439271175291804,0
SRG-00024,Wholesale,Dedicated Fiber,60,20,99.14042837023065,0,19534.408717948256,24647.86843940705,0.5938286519077394,0
SRG-00025,SMB,Dark Fiber,120,21,98.59398200977103,0,49857.10425656933,15278.308147498527,0.8005024341868279,0
SRG-00026,Enterprise,Dedicated Fiber,60,29,99.67582448742644,1,13964.453442512691,2297.9956574104554,0.40208399813287266,0
SRG-00027,Wholesale,Dedicated Fiber,60,59,99.28904900953601,2,62199.45112756448,10809.467144053819,0.5691261588974584,0
SRG-00028,Wholesale,Dedicated Fiber,36,25,98.54326778616307,1,86233.93349152055,23526.392081195896,0.8826928855347718,0
SRG-00029,Enterprise,Managed SD-WAN,60,38,98.56034602285806,2,75075.70272185476,8275.204920836215,0.9074405382251987,0
SRG-00030,SMB,Dark Fiber,60,58,99.41287610931182,1,40937.69748078077,24982.814102113425,0.42105645282699444,0
SRG-00031,Enterprise,Dark Fiber,120,44,99.70110660831102,0,99410.41068052656,3481.461881128983,0.23319372031195476,0
SRG-00032,Enterprise,Dedicated Fiber,60,25,99.15232130159941,0,67978.82276428299,14850.683253621899,0.5390714793602343,0
SRG-00033,SMB,Managed SD-WAN,120,9,99.32632520058807,1,82448.6012720355,13613.059964105314,0.9250254753203264,0
SRG-00034,SMB,Managed SD-WAN,120,39,99.69174588653435,2,68621.25179271461,7500.793464140951,0.4515067735913886,0
SRG-00035,SMB,Dark Fiber,120,44,99.4096541993223,2,98994.54765327703,23792.26757015985,0.549774683907442,0
SRG-00036,Enterprise,Managed SD-WAN,36,26,98.83489275411164,2,83029.17788568843,16050.523434936791,0.8583505906630382,0
SRG-00037,Enterprise,Dark Fiber,120,57,99.41344751854552,1,54345.20570006685,6910.36466094989,0.42234029082740426,0
